window_quarters,quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
10,2020Q1,14140,1435,0.23542214714469453,1.6005166907893574e-19,0.2064647022439885
10,2020Q2,14172,1440,0.16320343191397346,4.677239429274335e-10,0.10057329079403643
10,2020Q3,14206,1443,0.003969869941307385,0.8802338921370774,0.057596908238977174
10,2020Q4,14238,1443,0.1369838308981397,1.7536811872237483e-07,0.07069698162988616
10,2021Q1,14268,1449,0.06604729672113457,0.011912859887621339,0.029369138195912886
10,2021Q2,14304,1449,-0.04274345551929302,0.10386457309666709,-0.008817376197114805
10,2021Q3,14337,1454,0.08148382320127392,0.0018734842269953534,0.035661500399658784
10,2021Q4,14841,1460,-0.15440408746835785,3.0235345776700518e-09,-0.06751168115429085
10,2022Q1,14883,1467,-0.16290316066323013,3.472301480426257e-10,-0.023749995245690037
10,2022Q2,14464,1469,-0.03096324046187984,0.2356148557772265,-0.022586246264968073
10,2022Q3,14509,1470,0.10509561990320539,5.409670381449309e-05,0.10241532563908105
10,2022Q4,14544,1472,-0.07334191626511095,0.004873393258307078,-0.04492036133724888
10,2023Q1,14576,1473,-0.08783565670984529,0.0007387822098880022,-0.024904622197290234
10,2023Q2,14606,1006,0.1728539330899006,3.4432721445900367e-08,0.19011587889825596
10,2023Q3,14169,1473,0.02714312117346645,0.29785151497383805,0.045694453786540794
10,2023Q4,14193,1476,0.13857546677622837,9.032079494681682e-08,0.051393899924325664
10,2024Q1,14220,1472,0.2149737636757233,7.524368500577948e-17,0.1643752275457383
10,2024Q2,14238,1479,-0.04164779154244967,0.10937213842338445,-0.03969059019955502
10,2024Q3,14257,1486,0.22987867455515695,2.846139892145882e-19,0.1797116921048138
10,2024Q4,14276,1484,0.09500077871206265,0.00024743908027819383,0.11304088339659316
10,2025Q1,14291,1479,0.08895912617553679,0.000614642608591401,0.07298995844719058
10,2025Q2,14300,1487,0.38543905339625933,7.354198248779837e-54,0.2796134594579964
10,2025Q3,14315,1489,0.001718700021834363,0.947167009473489,0.027439344328076636
10,2025Q4,14331,1493,0.002784361613951194,0.9143954635535249,0.041913324437108324
10,2026Q1,14818,1486,0.27362427634965963,6.2780116842834435e-27,0.3612927821650551
10,2026Q2,14831,1476,0.11826380505866958,5.221305033097919e-06,0.13644058259372766
12,2017Q4,1868,1406,0.20788089785358543,3.4326117828544045e-15,0.07437671238099292
12,2018Q1,3274,1411,-0.061535937557087216,0.02079786283119842,-0.022172945406010128
12,2018Q2,4685,1413,0.11820676062611106,8.386413550663993e-06,0.08436751350646116
12,2018Q3,6098,1413,-0.18445772078913703,2.7952473973922137e-12,-0.07078266219362318
12,2018Q4,7511,1416,0.12279005992094426,3.5861918138969472e-06,0.06479860574817142
12,2019Q1,8927,950,0.002196861489979692,0.9460859435579887,0.01936535459772335
12,2019Q2,9877,1418,0.08248507239679537,0.0018794721816690649,0.05012852716698982
12,2019Q3,11295,1886,0.034032522587839446,0.13956417716800956,0.026166335257294275
12,2019Q4,13181,1424,0.08075225968769686,0.0022917191856574107,0.09155402056550827
12,2020Q1,14605,1435,0.23565328346835937,1.4722204719168653e-19,0.21864627987541826
12,2020Q2,16040,1440,0.1440569236878175,4.008203301350707e-08,0.11294873581067191
12,2020Q3,17015,1443,0.06023373439563026,0.022126800307330646,0.08223849619699307
