quarter,sector,share_of_universe,share_of_top_decile,gap
2022Q1,Telecommunication,0.02056555269922879,0.0,-0.02056555269922879
2022Q1,Construction,0.012853470437017995,0.02631578947368421,0.013462319036666214
2022Q1,Textiles,0.005141388174807198,0.0,-0.005141388174807198
2022Q2,Financial Services,0.2261029411764706,0.0,-0.2261029411764706
2022Q2,Capital Goods,0.10477941176470588,0.09259259259259259,-0.012186819172113297
2022Q2,Healthcare,0.08272058823529412,0.0,-0.08272058823529412
2022Q2,Fast Moving Consumer Goods,0.07536764705882353,0.037037037037037035,-0.03833061002178649
2022Q2,Automobile and Auto Components,0.07169117647058823,0.0,-0.07169117647058823
2022Q2,Information Technology,0.0661764705882353,0.2037037037037037,0.13752723311546838
2022Q2,Metals & Mining,0.05514705882352941,0.3333333333333333,0.27818627450980393
2022Q2,Oil Gas & Consumable Fuels,0.04963235294117647,0.018518518518518517,-0.03111383442265795
2022Q2,Power,0.04411764705882353,0.2962962962962963,0.25217864923747274
2022Q2,Consumer Durables,0.03860294117647059,0.0,-0.03860294117647059
2022Q2,Consumer Services,0.03676470588235294,0.018518518518518517,-0.018246187363834425
2022Q2,Realty,0.03308823529411765,0.0,-0.03308823529411765
2022Q2,Chemicals,0.03308823529411765,0.0,-0.03308823529411765
2022Q2,Services,0.022058823529411766,0.0,-0.022058823529411766
2022Q2,Construction Materials,0.022058823529411766,0.0,-0.022058823529411766
2022Q2,Telecommunication,0.022058823529411766,0.0,-0.022058823529411766
2022Q2,Construction,0.011029411764705883,0.0,-0.011029411764705883
2022Q2,Textiles,0.0055147058823529415,0.0,-0.0055147058823529415
2022Q3,Financial Services,0.22727272727272727,0.01818181818181818,-0.20909090909090908
2022Q3,Capital Goods,0.10363636363636364,0.34545454545454546,0.24181818181818182
2022Q3,Healthcare,0.08181818181818182,0.0,-0.08181818181818182
2022Q3,Fast Moving Consumer Goods,0.07636363636363637,0.05454545454545454,-0.021818181818181827
2022Q3,Automobile and Auto Components,0.07090909090909091,0.0,-0.07090909090909091
2022Q3,Information Technology,0.06545454545454546,0.03636363636363636,-0.029090909090909098
2022Q3,Metals & Mining,0.05454545454545454,0.10909090909090909,0.05454545454545454
2022Q3,Oil Gas & Consumable Fuels,0.04909090909090909,0.01818181818181818,-0.030909090909090907
2022Q3,Power,0.04363636363636364,0.2909090909090909,0.24727272727272726
2022Q3,Consumer Services,0.04181818181818182,0.05454545454545454,0.012727272727272726
2022Q3,Consumer Durables,0.038181818181818185,0.0,-0.038181818181818185
2022Q3,Chemicals,0.03272727272727273,0.0,-0.03272727272727273
2022Q3,Realty,0.03272727272727273,0.03636363636363636,0.003636363636363632
2022Q3,Services,0.02181818181818182,0.0,-0.02181818181818182
2022Q3,Telecommunication,0.02181818181818182,0.03636363636363636,0.014545454545454542
2022Q3,Construction Materials,0.02181818181818182,0.0,-0.02181818181818182
2022Q3,Construction,0.01090909090909091,0.0,-0.01090909090909091
2022Q3,Textiles,0.005454545454545455,0.0,-0.005454545454545455
2022Q4,Financial Services,0.23104693140794225,0.18181818181818182,-0.04922874958976042
2022Q4,Capital Goods,0.10288808664259928,0.34545454545454546,0.24256645881194616
